AA,artificial_intelligence
AB,backtracking
AC,bit_manipulation
AD,cellular_automation
AE,compression
AF,computational_geometry
AG,computer_graphices
AH,data_structures
AI,design_pattern
AJ,divide_conquer
AK,dynamic_programming
AL,filters
AM,graph_algorithms
AN,greedy_algorithms
AO,mathematical_algorithms
AP,networking
AQ,numerical_analysis
AR,online_challenges
AS,operating_system
AT,randomized_algorithms
AU,search
AV,selection_algorithms
AW,sorting
AX,square_root_decomposition
AY,string_algorithms
AZ,unclassified
BA,utility
BB,cryptography
